data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
38,China,Harbin,Sujun Hero Monument,,,,,,https://www.google.com/maps/place/Sujun+Hero+Monument/data=!4m7!3m6!1s0x5e447f8e8cfc4f5f:0x708b2ac1a257127f!8m2!3d45.756947!4d126.641699!16s%2Fg%2F11ddx8zqq6!19sChIJX0_8jI5_RF4RfxJXosEqi3A?authuser=0&hl=ko&rclk=1,,4.0,4.0
39,China,Harbin,Harbin Concert Hall,,,,,,https://www.google.com/maps/place/Harbin+Concert+Hall/data=!4m7!3m6!1s0x5e43800ce474bf8f:0x5d95a797aa2fdda6!8m2!3d45.769127!4d126.631719!16s%2Fg%2F11h0b93nnb!19sChIJj7905AyAQ14Rpt0vqpenlV0?authuser=0&hl=ko&rclk=1,,4.0,4.0
40,China,Harbin,Harbin Institute of Technology Museum,,,,,,https://www.google.com/maps/place/Harbin+Institute+of+Technology+Museum/data=!4m7!3m6!1s0x5e447f8528d34da5:0x210e4a37b189334!8m2!3d45.751519!4d126.6384949!16s%2Fg%2F11h3bp9y_z!19sChIJpU3TKIV_RF4RNJMYe6PkEAI?authuser=0&hl=ko&rclk=1,,4.3,3.0
41,China,Harbin,Ice And Snow Entertainment Wangguo Sand Beach Tribes,,,,,,https://www.google.com/maps/place/Ice+And+Snow+Entertainment+Wangguo+Sand+Beach+Tribes/data=!4m7!3m6!1s0x5e438056ea43a945:0xba958432b22b319a!8m2!3d45.768952!4d126.579355!16s%2Fg%2F11g4gcjd81!19sChIJRalD6laAQ14RmjErsjKElbo?authuser=0&hl=ko&rclk=1,,5.0,3.0
42,China,Harbin,Harbin Library,,,,,,https://www.google.com/maps/place/Harbin+Library/data=!4m7!3m6!1s0x5e4478cd5b4d16c7:0x9ad48c986464902f!8m2!3d45.707898!4d126.612898!16s%2Fg%2F11pc0kmk2g!19sChIJxxZNW814RF4RL5BkZJiM1Jo?authuser=0&hl=ko&rclk=1,,3.7,3.0
43,China,Harbin,国家游泳队哈尔滨训练基地,,,,,,https://www.google.com/maps/place/%E5%9B%BD%E5%AE%B6%E6%B8%B8%E6%B3%B3%E9%98%9F%E5%93%88%E5%B0%94%E6%BB%A8%E8%AE%AD%E7%BB%83%E5%9F%BA%E5%9C%B0/data=!4m7!3m6!1s0x5e43800915a80c0d:0x9c08b5e0ce8bec44!8m2!3d45.7708!4d126.641209!16s%2Fg%2F1td4jx22!19sChIJDQyoFQmAQ14RROyLzuC1CJw?authuser=0&hl=ko&rclk=1,,4.0,2.0
44,China,Harbin,Harbin International Convention Exhibition and Sports Center Gymnasium,,,,,,https://www.google.com/maps/place/Harbin+International+Convention+Exhibition+and+Sports+Center+Gymnasium/data=!4m7!3m6!1s0x5e447fd37e913fb1:0x7786d86f6e19dc65!8m2!3d45.754849!4d126.697462!16s%2Fg%2F11b805j384!19sChIJsT-RftN_RF4RZdwZbm_Yhnc?authuser=0&hl=ko&rclk=1,,5.0,2.0
45,China,Harbin,Arab Square,,,,,,https://www.google.com/maps/place/Arab+Square/data=!4m7!3m6!1s0x5e437ff0adf51b19:0xb6a6b36874367785!8m2!3d45.787336!4d126.6520101!16s%2Fg%2F1tg67wp4!19sChIJGRv1rfB_Q14RhXc2dGizprY?authuser=0&hl=ko&rclk=1,,3.0,2.0
46,China,Harbin,Harbin Institute of Technology Sports Center,,,,,,https://www.google.com/maps/place/Harbin+Institute+of+Technology+Sports+Center/data=!4m7!3m6!1s0x5e447f73f2dfcf69:0x85c99f27e46ee0a3!8m2!3d45.739032!4d126.633082!16s%2Fg%2F1tkb4wx2!19sChIJac_f8nN_RF4Ro-Bu5CefyYU?authuser=0&hl=ko&rclk=1,,5.0,2.0
47,China,Harbin,Alejin Island National Wetland Park,,,,,,https://www.google.com/maps/place/Alejin+Island+National+Wetland+Park/data=!4m7!3m6!1s0x5e437fb90d49bf73:0x4ef8b61a72b5e687!8m2!3d45.8088!4d126.65802!16s%2Fg%2F11pw6hys8k!19sChIJc79JDbl_Q14Rh-a1chq2-E4?authuser=0&hl=ko&rclk=1,,4.5,2.0
48,China,Harbin,哈尔滨文庙,,,,,,https://www.google.com/maps/place/%E5%93%88%E5%B0%94%E6%BB%A8%E6%96%87%E5%BA%99/data=!4m7!3m6!1s0x5e43803beb3b118d:0x2c1b1cbb2990432d!8m2!3d45.781255!4d126.612443!16s%2Fg%2F155qfsf0!19sChIJjRE76zuAQ14RLUOQKbscGyw?authuser=0&hl=ko&rclk=1,,5.0,2.0
49,China,Harbin,森林植物园,,,,,,https://www.google.com/maps/place/%E6%A3%AE%E6%9E%97%E6%A4%8D%E7%89%A9%E5%9B%AD/data=!4m7!3m6!1s0x5e438014c35e903d:0xcbf496d529e1ce96!8m2!3d45.7732!4d126.618728!16s%2Fg%2F113f9bln3!19sChIJPZBewxSAQ14Rls7hKdWW9Ms?authuser=0&hl=ko&rclk=1,,4.5,2.0
50,China,Harbin,Swan Castle,,,,,,https://www.google.com/maps/place/Swan+Castle/data=!4m7!3m6!1s0x5e43803f286d26ef:0x23fac8b1b465c03!8m2!3d45.77783!4d126.610563!16s%2Fg%2F11c5_gc45j!19sChIJ7yZtKD-AQ14RA1xGG4usPwI?authuser=0&hl=ko&rclk=1,,2.0,2.0
51,China,Harbin,Harbin Jinyuan Culture Tourism Area,,,,,,https://www.google.com/maps/place/Harbin+Jinyuan+Culture+Tourism+Area/data=!4m7!3m6!1s0x5e445cd0369b5f5f:0xb3d8ad406530e676!8m2!3d45.497352!4d126.968684!16s%2Fg%2F11g__vq_q!19sChIJX1-bNtBcRF4RduYwZUCt2LM?authuser=0&hl=ko&rclk=1,,3.5,2.0
